month_year,Deaths
2018-01-01,436
2018-02-01,378
2018-03-01,354
2018-04-01,336
2018-05-01,380
2018-06-01,355
2018-07-01,384
2018-08-01,360
2018-09-01,371
2018-10-01,363
2018-11-01,371
2018-12-01,378
2019-01-01,374
2019-02-01,348
2019-03-01,390
2019-04-01,399
2019-05-01,367
2019-06-01,361
2019-07-01,377
2019-08-01,399
2019-09-01,364
2019-10-01,385
2019-11-01,397
2019-12-01,419
2020-01-01,428
2020-02-01,358
2020-03-01,385
2020-04-01,411
2020-05-01,420
2020-06-01,463
2020-07-01,479
2020-08-01,461
2020-09-01,438
2020-10-01,401
2020-11-01,451
2020-12-01,423
2021-01-01,466
2021-02-01,407
2021-03-01,496
2021-04-01,436
2021-05-01,460
2021-06-01,465
2021-07-01,456
2021-08-01,484
2021-09-01,455
2021-10-01,458
2021-11-01,425
2021-12-01,460
2022-01-01,486
2022-02-01,436
2022-03-01,502
2022-04-01,447
2022-05-01,482
2022-06-01,474
2022-07-01,498
2022-08-01,403
2022-09-01,501
2022-10-01,470
2022-11-01,473
2022-12-01,527
2023-01-01,466
2023-02-01,416
2023-03-01,460
2023-04-01,460
2023-05-01,501
2023-06-01,463
2023-07-01,471
2023-08-01,473
2023-09-01,456
2023-10-01,528
2023-11-01,482
2023-12-01,492
