"","year","race_eth","deaths"
"1",2018,"Black or African American",73
"2",2019,"Black or African American",56
"3",2020,"Black or African American",85
"4",2021,"Black or African American",92
"5",2022,"Black or African American",98
"6",2023,"Black or African American",86
"7",2024,"Black or African American",100
"8",2018,"Hispanic",89
"9",2019,"Hispanic",76
"10",2020,"Hispanic",98
"11",2021,"Hispanic",100
"12",2022,"Hispanic",107
"13",2023,"Hispanic",117
"14",2024,"Hispanic",83
"15",2018,"Native Hawaiian or Other Pacific Islander",0
"16",2019,"Native Hawaiian or Other Pacific Islander",0
"17",2020,"Native Hawaiian or Other Pacific Islander",0
"18",2021,"Native Hawaiian or Other Pacific Islander",0
"19",2022,"Native Hawaiian or Other Pacific Islander",0
"20",2023,"Native Hawaiian or Other Pacific Islander",0
"21",2024,"Native Hawaiian or Other Pacific Islander",0
"22",2018,"White",53
"23",2019,"White",52
"24",2020,"White",88
"25",2021,"White",73
"26",2022,"White",79
"27",2023,"White",56
"28",2024,"White",37
